thirdAc,arrival,from_station_code,name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,to_station_name,duration_h,type_of_train,first_ac,distance
1,22:55:00,GHY,GUWAHATI - TRIVANDRUM CENTRAL EXP,NFR,0,0,25,1,GUWAHATI,12516,06:30:00,12515,TVC,1,TRIVANDRUM CENTRAL,64,SF,0,3552
1,15:40:00,KOAA,KOLKATA - GUWAHATI Garib Rath Exp,NER,0,0,0,0,KOLKATA CHITPUR,12517,21:40:00,12518,GHY,0,GUWAHATI,18,GR,0,1027
1,15:00:00,GHY,GUWAHATI - KOLKATA Garib Rath Exp,NER,0,0,0,0,GUWAHATI,12518,21:00:00,12517,KOAA,0,KOLKATA CHITPUR,18,GR,0,1027
1,13:20:00,BJU,Raptisagar Express,ECR,0,0,20,1,BARAUNI JN,12521,23:00:00,12522,ERS,1,ERNAKULAM JN,62,SF,1,3441
1,12:10:00,NJP,New Jalpaiguri-New Delhi Superfast Express,NFR,0,0,55,1,NEW JALPAIGURI,12523,08:15:00,12524,NDLS,1,NEW DELHI,27,SF,0,1500
1,18:35:00,NDLS,New Delhi New Jalpaiguri SuperFast Express,NFR,0,0,25,1,NEW DELHI,12524,15:10:00,12523,NJP,1,NEW JALPAIGURI,27,SF,0,1497
0,09:08:00,CSTM,Indrayani SF Express,CR,1,0,28,0,MUMBAI CST,12525,05:40:00,12526,PUNE,0,PUNE JN,3,SF,0,192
0,21:55:00,PUNE,Indrayani SF Express,CR,1,0,20,0,PUNE JN,12526,18:35:00,12525,CSTM,0,MUMBAI CST,3,SF,0,192
0,10:50:00,HBJ,Bhopal-Jabalpur Intercity Express,WCR,1,0,20,0,HABIBGANJ,12529,05:30:00,12530,JBP,0,JABALPUR,5,SF,0,331
0,22:05:00,JBP,Jabalpur-Bhopal Intercity,WCR,1,0,55,0,JABALPUR,12530,16:10:00,12529,HBJ,0,HABIBGANJ,5,SF,0,331
0,11:00:00,GKP,Gorakhpur Lucknow InterCity Express,NER,1,0,55,0,GORAKHPUR JN,12531,06:05:00,12532,LJN,0,LUCKNOW JN,4,SF,0,279
0,21:30:00,LJN,Lucknow Gorakhpur Inter City Express,NER,1,0,55,0,LUCKNOW JN,12532,16:35:00,12531,GKP,0,GORAKHPUR JN,4,SF,0,279
1,20:05:00,LJN,Pushpak Express,NER,0,0,20,1,LUCKNOW JN,12533,19:45:00,12534,CSTM,1,MUMBAI CST,24,SF,1,1426
1,08:40:00,CSTM,Pushpak Express,NER,0,0,20,1,MUMBAI CST,12534,08:20:00,12533,LJN,1,LUCKNOW JN,24,SF,1,1426
0,06:15:00,RXL,RAXAUL - MUMBAI LTT Karmabhoomi Exp,ECR,0,0,40,0,RAXAUL JN,12545,20:35:00,12546,LTT,0,LOKMANYA TILAK TERM,33,SF,0,1963
1,13:35:00,AF,Agra Fort Ahmedabad Tri Weekly Express,NER,0,0,10,1,AGRA FORT,12547,22:25:00,12548,ADI,1,AHMEDABAD JN,15,SF,0,867
1,08:10:00,ADI,Ahmedabad-Agra Fort Express,NER,0,0,15,1,AHMEDABAD JN,12548,16:55:00,12547,AF,1,AGRA FORT,15,SF,0,867
1,17:15:00,NDLS,Vaishali SF Express,ECR,0,0,25,1,NEW DELHI,12554,19:50:00,12553,BJU,1,BARAUNI JN,21,SF,1,1185
1,04:05:00,MFP,Sapt Kranti SF Express,ECR,0,0,55,1,MUZAFFARPUR JN,12557,09:10:00,12558,ANVT,1,ANAND VIHAR TRM,18,SF,1,1060
1,10:25:00,ANVT,Sapt Kranti SF Express,ECR,0,0,35,1,ANAND VIHAR TRM,12558,14:50:00,12557,MFP,1,MUZAFFARPUR JN,19,SF,1,1060
1,08:25:00,JYG,Jaynagar-Delhi AnandViharT Garib Rath,ECR,0,0,15,0,JAYNAGAR,12569,12:10:00,12570,ANVT,0,ANAND VIHAR TRM,20,GR,0,1252
1,13:30:00,ANVT,Anand Vihar Terminus-Jaynagar Garib Rath Express,ECR,0,0,30,0,ANAND VIHAR TRM,12570,17:00:00,12569,JYG,0,JAYNAGAR,20,GR,0,1252
1,22:25:00,HWH,Howrah Prasanti Nilayam SF Express,NFR,0,0,35,1,HOWRAH JN,12571,15:50:00,12572,SSPN,1,SATYA SAI P NILAYAM,30,SF,0,1763
1,14:50:00,SSPN,Prashanti Nilayam Howrah SF Express,NFR,0,0,0,1,SATYA SAI P NILAYAM,12572,07:50:00,12571,HWH,1,HOWRAH JN,31,SF,0,1763
1,19:30:00,SNSI,SainagarShirdi-Howrah Express,SER,0,0,35,1,SAINAGAR SHIRDI,12573,13:55:00,12574,HWH,1,HOWRAH JN,29,SF,0,1792
1,20:55:00,DBG,DARBHANGA - MYSORE BAGMATI SF Exp,ECR,0,0,40,1,DARBHANGA JN,12577,16:15:00,12578,MYS,1,MYSORE JN,52,SF,0,2910
1,14:15:00,MYS,MYSORE - DARBHANGA BAGMATI SF Exp,ECR,0,0,5,1,MYSORE JN,12578,10:10:00,12577,DBG,1,DARBHANGA JN,52,SF,0,2910
1,03:20:00,DGHA,Digha- Puri SamudraKanya Express,NFR,0,0,5,1,Digha Flag Station,12579,17:15:00,12580,PURI,1,PURI,10,SF,0,549
1,17:35:00,PUNE,Pune Bhubaneshwar Express,ECoR,0,0,20,1,PUNE JN,12581,11:15:00,12582,BBS,1,BHUBANESWAR,30,SF,0,1689
1,05:00:00,BBS,Bhubaneshwar-Pune Express,ECoR,0,0,45,1,BHUBANESWAR,12582,22:15:00,12581,PUNE,1,PUNE JN,30,SF,0,1689
1,10:15:00,LJN,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,NFR,0,0,35,1,LUCKNOW JN,12583,19:40:00,12584,ANVT,1,ANAND VIHAR TRM,38,SF,0,2071
1,19:50:00,ANVT,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,NFR,0,0,25,1,ANAND VIHAR TRM,12584,05:25:00,12583,LJN,1,LUCKNOW JN,38,SF,0,2071
1,15:10:00,YPR,YESVANTPUR - GORAKHPUR SF Exp,NFR,0,0,20,1,YESVANTPUR JN,12592,16:50:00,12591,GKP,1,GORAKHPUR JN,46,SF,0,2529
1,09:35:00,LJN,Lucknow-Bhopal Garib Rath,NER,0,0,50,0,LUCKNOW JN,12593,22:45:00,12594,BPL,0,BHOPAL JN,10,GR,0,585
1,09:45:00,BPL,Bhopal-Lucknow Garib Rath Express,NER,0,0,0,0,BHOPAL JN,12594,22:45:00,12593,LJN,0,LUCKNOW JN,11,GR,0,585
0,21:20:00,MS,Pallavan Superfast Express,SR,1,0,35,0,CHENNAI EGMORE,12605,15:45:00,12606,TPJ,0,TIRUCHIRAPPALLI,5,SF,0,336
0,12:05:00,TPJ,Pallavan Superfast Express,SR,1,0,35,0,TIRUCHIRAPPALLI,12606,06:30:00,12605,MS,0,CHENNAI EGMORE,5,SF,0,336
0,21:35:00,MAS,CHENNAI CENTRAL - BANGALORE Lalbagh Exp,SWR,1,0,0,0,CHENNAI CENTRAL,12607,15:35:00,12608,SBC,0,BANGALORE CITY JN,6,SF,0,358
0,12:15:00,SBC,BANGALORE - CHENNAI CENTRAL Lalbagh Exp,SWR,1,0,45,0,BANGALORE CITY JN,12608,06:30:00,12607,MAS,0,CHENNAI CENTRAL,5,SF,0,362
0,20:05:00,MAS,CHENNAI CENT - BANGALORE SF Intercity Exp,SWR,1,0,30,0,CHENNAI CENTRAL,12609,13:35:00,12610,SBC,0,BANGALORE CITY JN,6,SF,0,362
0,08:17:00,MSB,Chennai Beach Tambaram EMU(12 Car),SR,0,0,55,0,CHENNAI BEACH,40009,07:22:00,,TBM,0,TAMBARAM,0,MEMU,0,33
1,10:00:00,HSR,Gorakhdham Express,NER,0,0,25,1,Hisar,12556,16:35:00,12555,GKP,1,GORAKHPUR JN,17,SF,1,962
1,07:40:00,BSB,Shiv Ganga Express,NER,0,0,25,1,VARANASI JN,12559,19:15:00,12560,NDLS,1,NEW DELHI,12,SF,1,758
1,07:30:00,NDLS,Shiv Ganga Express,NER,0,0,45,1,NEW DELHI,12560,18:45:00,12559,BSB,1,VARANASI JN,12,SF,1,758
1,18:05:00,NDLS,Swatantrata Sainani Express,ECR,0,0,25,1,NEW DELHI,12562,20:40:00,12561,DBG,1,DARBHANGA JN,21,SF,1,1166
1,17:40:00,LTT,Mumbai LTT - Faizabad SF Express,NER,0,0,10,1,LOKMANYA TILAK TERM,12563,14:30:00,12564,FD,1,FAIZABAD JN,27,SF,1,1600
1,05:00:00,FD,Faizabad-Mumbai LTT SF Express,CR,0,0,5,1,FAIZABAD JN,12564,23:55:00,12563,LTT,1,LOKMANYA TILAK TERM,29,SF,1,1600
1,05:30:00,DBG,Bihar Sampark Kranti Express,ECR,0,0,55,1,DARBHANGA JN,12565,08:35:00,12566,NDLS,1,NEW DELHI,20,SKr,1,1172
1,11:25:00,NDLS,Bihar Sampark Kranti Express,ECR,0,0,55,1,NEW DELHI,12566,14:30:00,12565,DBG,1,DARBHANGA JN,20,SKr,1,1172
0,11:25:00,KGP,Kharagpur Purulia Express,NFR,1,0,0,0,KHARAGPUR JN,12575,07:25:00,12576,PRR,0,PURULIA JN,4,SF,0,208
0,15:50:00,PRR,Purulia Khargapur Intercity Express,NFR,1,0,55,0,PURULIA JN,12576,11:55:00,12575,KGP,0,KHARAGPUR JN,3,SF,0,208
1,12:20:00,GKP,Amarnath Express,NFR,0,0,15,1,GORAKHPUR JN,12587,14:05:00,12588,JAT,1,JAMMU TAWI,22,SF,0,1248
1,20:50:00,JAT,Amarnath Express,NFR,0,0,5,1,JAMMU TAWI,12588,22:45:00,12587,GKP,1,GORAKHPUR JN,22,SF,0,1248
1,15:10:00,GKP,Gorakhpur-Secunderabad Express,NFR,0,0,25,1,GORAKHPUR JN,12589,06:45:00,12590,SC,1,SECUNDERABAD JN,32,SF,0,1827
1,15:10:00,SC,Secunderabad - Gorakhpur Express,NFR,0,0,50,1,SECUNDERABAD JN,12590,07:20:00,12589,GKP,1,GORAKHPUR JN,31,SF,0,1827
1,12:25:00,MAS,Chennai Mangalore Mail,SR,0,1,0,1,CHENNAI CENTRAL,12601,20:25:00,12602,MAQ,1,MANGALORE CNTL,16,SF,0,889
1,05:25:00,MAQ,Chennai Mail,SR,0,1,10,1,MANGALORE CNTL,12602,13:15:00,12601,MAS,1,CHENNAI CENTRAL,16,SF,0,889
1,05:45:00,MAS,Chennai - Hyderabad Express,SR,0,0,0,1,CHENNAI CENTRAL,12603,16:45:00,12604,HYB,1,HYDERABAD DECCAN,13,SF,1,715
1,05:55:00,HYB,Hyderabad - Chennai Express,SR,0,0,0,1,HYDERABAD DECCAN,12604,16:55:00,12603,MAS,1,CHENNAI CENTRAL,13,SF,1,715
1,10:20:00,MAS,Chennai Central-H.Nizamuddin Garib Rath Express,SR,0,0,10,0,CHENNAI CENTRAL,12611,06:10:00,12612,NZM,0,DELHI H NIZAMUDDIN,28,GR,0,2177
1,20:15:00,NZM,H Nizamuddin-Chennai Garib Rath Express,SR,0,0,15,0,DELHI H NIZAMUDDIN,12612,16:00:00,12611,MAS,0,CHENNAI CENTRAL,28,GR,0,2176
0,13:30:00,MYS,Tippu Express,SWR,1,0,30,0,MYSORE JN,12613,11:00:00,12614,SBC,0,BANGALORE CITY JN,2,SF,0,139
0,17:30:00,SBC,Tippu Express,SWR,1,0,30,0,BANGALORE CITY JN,12614,15:00:00,12613,MYS,0,MYSORE JN,2,SF,0,139
1,06:15:00,NDLS,GrandTrunk Express,SR,0,0,35,1,NEW DELHI,12616,18:40:00,12615,MAS,1,CHENNAI CENTRAL,35,SF,1,2184
1,06:35:00,MAQ,MANGALORE CENT - MUMBAI LTT Matsyagandha Exp,SR,0,0,55,1,MANGALORE CNTL,12620,14:40:00,12619,LTT,1,LOKMANYA TILAK TERM,15,SF,0,1186
1,07:15:00,NDLS,Tamil Nadu Express,SR,0,0,45,1,NEW DELHI,12622,22:30:00,12621,MAS,1,CHENNAI CENTRAL,32,SF,1,2184
1,11:25:00,MAS,Chennai Tiruvananthapuram SF Mail,SR,0,0,40,1,CHENNAI CENTRAL,12623,19:45:00,12624,TVC,1,TRIVANDRUM CENTRAL,15,SF,1,909
1,13:40:00,TVC,Kerala Express,SR,0,0,25,1,TRIVANDRUM CENTRAL,12625,11:15:00,12626,NDLS,1,NEW DELHI,50,SF,0,3036
1,14:35:00,NDLS,Kerala Express,SR,0,0,5,1,NEW DELHI,12626,11:30:00,12625,TVC,1,TRIVANDRUM CENTRAL,51,SF,0,3036
1,13:40:00,NDLS,Karnataka Express,SWR,0,0,25,1,NEW DELHI,12628,21:15:00,12627,SBC,1,BANGALORE CITY JN,40,SF,1,2406
1,09:15:00,YPR,Karnataka Sampark Kranti Express,SWR,0,0,25,1,YESVANTPUR JN,12629,12:50:00,12630,NZM,1,DELHI H NIZAMUDDIN,44,SKr,1,2610
1,06:40:00,NZM,Karnataka Sampark Kranti Express,SWR,0,0,45,1,DELHI H NIZAMUDDIN,12630,08:55:00,12629,YPR,1,YESVANTPUR JN,45,SKr,1,2610
0,20:50:00,MS,CHENNAI EGMORE - MADURAI Vaigai SF Exp,SR,1,0,5,0,CHENNAI EGMORE,12635,12:45:00,12636,MDU,0,MADURAI JN,8,SF,0,497
1,06:15:00,MS,CHENNAI EGMORE - MADURAI Pandiyan SF Exp,SR,0,1,0,1,CHENNAI EGMORE,12637,21:15:00,12638,MDU,1,MADURAI JN,9,SF,1,497
1,05:35:00,MDU,MADURAI - CHENNAI EGMORE Pandiyan SF Exp,SR,0,1,0,1,MADURAI JN,12638,20:35:00,12637,MS,1,CHENNAI EGMORE,9,SF,1,497
0,20:25:00,SBC,BANGALORE - CHENNAI CENT Brindavan Exp,SR,1,0,55,0,BANGALORE CITY JN,12640,14:30:00,12639,MAS,0,CHENNAI CENTRAL,5,SF,0,362
1,17:05:00,TVC,Swarna Jayanthi Express,SR,0,0,45,1,TRIVANDRUM CENTRAL,12643,14:20:00,12644,NZM,0,DELHI H NIZAMUDDIN,50,SF,0,3014
1,11:10:00,NZM,Swarna Jayanti Express,SR,0,0,10,1,DELHI H NIZAMUDDIN,12644,06:00:00,12643,TVC,0,TRIVANDRUM CENTRAL,53,SF,0,3014
1,09:15:00,YPR,Karnataka Sampark Kranti Express,SWR,0,0,5,1,YESVANTPUR JN,12649,22:10:00,12650,NZM,1,DELHI H NIZAMUDDIN,35,SKr,1,2277
1,19:00:00,NZM,Karnataka Sampark Kranti Express,SWR,0,0,15,1,DELHI H NIZAMUDDIN,12650,06:45:00,12649,YPR,1,YESVANTPUR JN,36,SKr,1,2276
